INFO 2023-10-28 16:22:01,678 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:22:05,116 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:36:19,286 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:36:20,975 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:36:33,863 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:36:42,499 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:36:44,111 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:37:10,177 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:37:11,824 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:38:55,081 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:38:57,358 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:45:34,455 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:45:35,984 NE_RS_UNBLDRE: Unable to load application resource file /resources/index.html api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:45:47,277 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
ERROR 2023-10-28 16:45:49,554 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Lyciaa@LAPTOP-3MHQFBA8
INFO 2023-10-28 16:46:51,203 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Lyciaa@LAPTOP-3MHQFBA8
